Kota/Kabupaten,Tanggal,Imsak,Subuh,Terbit,Dhuha,Dzuhur,Ashar,Maghrib,Isya
Kota Jakarta,"Kamis, 08/06/2028",04:28,04:38,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Jumat, 09/06/2028",04:28,04:38,05:56,06:25,11:55,15:16,17:48,19:02
Kota Jakarta,"Sabtu, 10/06/2028",04:28,04:38,05:56,06:25,11:56,15:17,17:49,19:03
Kota Jakarta,"Minggu, 11/06/2028",04:28,04:38,05:56,06:25,11:56,15:17,17:49,19:03
Kota Jakarta,"Senin, 12/06/2028",04:28,04:38,05:56,06:25,11:56,15:17,17:49,19:03
Kota Jakarta,"Selasa, 13/06/2028",04:29,04:39,05:56,06:26,11:56,15:17,17:49,19:03
Kota Jakarta,"Rabu, 14/06/2028",04:29,04:39,05:57,06:26,11:57,15:17,17:49,19:03
Kota Jakarta,"Kamis, 15/06/2028",04:29,04:39,05:57,06:26,11:57,15:18,17:49,19:04
Kota Jakarta,"Jumat, 16/06/2028",04:29,04:39,05:57,06:26,11:57,15:18,17:50,19:04
Kota Jakarta,"Sabtu, 17/06/2028",04:29,04:39,05:57,06:27,11:57,15:18,17:50,19:04
Kota Jakarta,"Minggu, 18/06/2028",04:30,04:40,05:58,06:27,11:57,15:18,17:50,19:04
Kota Jakarta,"Senin, 19/06/2028",04:30,04:40,05:58,06:27,11:58,15:19,17:50,19:05
Kota Jakarta,"Selasa, 20/06/2028",04:30,04:40,05:58,06:27,11:58,15:19,17:51,19:05
Kota Jakarta,"Rabu, 21/06/2028",04:30,04:40,05:58,06:28,11:58,15:19,17:51,19:05
Kota Jakarta,"Kamis, 22/06/2028",04:31,04:41,05:59,06:28,11:58,15:19,17:51,19:05
Kota Jakarta,"Jumat, 23/06/2028",04:31,04:41,05:59,06:28,11:58,15:19,17:51,19:05
Kota Jakarta,"Sabtu, 24/06/2028",04:31,04:41,05:59,06:28,11:59,15:20,17:51,19:06
Kota Jakarta,"Minggu, 25/06/2028",04:31,04:41,05:59,06:28,11:59,15:20,17:52,19:06
Kota Jakarta,"Senin, 26/06/2028",04:31,04:41,05:59,06:29,11:59,15:20,17:52,19:06
Kota Jakarta,"Selasa, 27/06/2028",04:32,04:42,06:00,06:29,11:59,15:20,17:52,19:06
Kota Jakarta,"Rabu, 28/06/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:52,19:06
Kota Jakarta,"Kamis, 29/06/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:53,19:07
Kota Jakarta,"Jumat, 30/06/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:53,19:07
Kota Jakarta,"Sabtu, 01/07/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:53,19:07
